id,year,locationid,name,date
939,2015,15,Azure ML,9/20/2015
940,2015,22,DevOps,9/27/2015
944,2015,18,Hadoop,11/15/2015
945,2015,24,Scala,11/29/2015
948,2016,1,AWS developer,3/20/2016
949,2016,3,MySQL,4/3/2016
950,2016,17,Spark,4/17/2016
952,2016,4,Python,5/15/2016
955,2016,73,AWS Architect,6/19/2016
957,2016,9,Databricks,7/10/2016
958,2016,11,GCP Data Professional,7/24/2016
959,2016,10,Azure Data Engineer,7/31/2016
960,2016,13,AWS Databases,8/28/2016
961,2016,14,AWS ML,9/4/2016
962,2016,15,Azure ML,9/18/2016
963,2016,2,AWS Data Analytics,10/2/2016
964,2016,22,DevOps,10/9/2016
967,2016,18,Hadoop,11/13/2016
968,2016,24,Scala,11/27/2016
969,2017,1,AWS developer,3/26/2017
970,2017,17,Spark,4/9/2017
971,2017,3,MySQL,4/16/2017
973,2017,4,Python,5/14/2017
978,2017,9,Databricks,7/16/2017
979,2017,11,GCP Data Professional,7/30/2017
980,2017,13,AWS Databases,8/27/2017
981,2017,14,AWS ML,9/3/2017
982,2017,15,Azure ML,9/17/2017
983,2017,2,AWS Data Analytics,10/1/2017
984,2017,22,DevOps,10/8/2017
987,2017,18,Hadoop,11/12/2017
988,2017,24,Scala,11/26/2017
989,2018,1,AWS developer,3/25/2018
990,2018,3,MySQL,4/8/2018
991,2018,17,Spark,4/15/2018
993,2018,4,Python,5/13/2018
998,2018,9,Databricks,7/8/2018
999,2018,10,Azure Data Engineer,7/22/2018
1000,2018,11,GCP Data Professional,7/29/2018
1001,2018,13,AWS Databases,8/26/2018
1002,2018,14,AWS ML,9/2/2018
1003,2018,15,Azure ML,9/16/2018
1005,2018,22,DevOps,10/7/2018
1008,2018,18,Hadoop,11/11/2018
1009,2018,24,Scala,11/25/2018
1010,2019,1,AWS developer,3/17/2019
1011,2019,3,MySQL,3/31/2019
1012,2019,17,Spark,4/14/2019
1014,2019,4,Python,5/12/2019
1019,2019,9,Databricks,7/14/2019
1020,2019,10,Azure Data Engineer,7/28/2019
1021,2019,11,GCP Data Professional,8/4/2019
1022,2019,13,AWS Databases,9/1/2019
1023,2019,14,AWS ML,9/8/2019
1024,2019,15,Azure ML,9/22/2019
1026,2019,22,DevOps,10/13/2019
1029,2019,18,Hadoop,11/17/2019
1030,2019,24,Scala,12/1/2019
1033,2020,11,GCP Data Professional,7/19/2020
1034,2020,9,Databricks,8/2/2020
1036,2020,4,Python,8/16/2020
1037,2020,13,AWS Databases,8/30/2020
1038,2020,14,AWS ML,9/6/2020
1044,2020,5,Data Sciences,11/15/2020
1045,2020,3,MySQL,11/29/2020
1047,2020,24,Scala,12/13/2020
1051,2021,1,AWS developer,11/21/2021
1052,2021,3,MySQL,3/28/2021
1055,2021,4,Python,5/9/2021
1061,2021,9,Databricks,7/18/2021
1062,2021,11,GCP Data Professional,8/1/2021
1063,2021,13,AWS Databases,8/29/2021
1065,2021,14,AWS ML,9/12/2021
1067,2021,15,Azure ML,10/3/2021
1068,2021,22,DevOps,10/10/2021
1071,2021,18,Hadoop,11/7/2021
1073,2021,24,Scala,12/12/2021
